"weeknr" "total_meas" "pos_meas"
"1" 1 68 24
"2" 2 81 30
"3" 3 91 36
"4" 4 130 50
"5" 5 110 36
"6" 6 104 29
"7" 7 101 26
"8" 8 99 37
"9" 9 123 55
"10" 10 105 47
"11" 11 125 44
"12" 12 113 24
"13" 13 103 15
"14" 14 83 26
"15" 15 85 27
"16" 16 134 58
"17" 17 55 20
"18" 18 55 19
"19" 19 191 79
"20" 20 156 54
"21" 21 132 62
"22" 22 108 45
"23" 23 102 51
"24" 24 126 88
"25" 25 110 77
"26" 26 129 85
"27" 27 118 83
"28" 28 103 74
"29" 29 108 64
"30" 30 117 63
"31" 31 114 89
"32" 32 120 86
"33" 33 110 83
"34" 34 104 63
"35" 35 119 74
"36" 36 115 67
"37" 37 114 76
"38" 38 124 79
"39" 39 149 82
"40" 40 118 60
"41" 41 113 64
"42" 42 121 52
"43" 43 116 45
"44" 44 103 39
"45" 45 132 54
"46" 46 138 53
"47" 47 131 46
"48" 48 139 47
"49" 49 135 44
"50" 50 113 48
"51" 51 83 28
"52" 52 91 33
"53" 53 116 46
"54" 54 145 40
"55" 55 149 60
"56" 56 130 47
"57" 57 119 40
"58" 58 110 32
"59" 59 119 50
"60" 60 125 32
"61" 61 121 36
"62" 62 132 27
"63" 63 135 31
"64" 64 125 44
"65" 65 101 25
"66" 66 93 16
"67" 67 137 42
"68" 68 133 25
"69" 69 132 35
"70" 70 102 27
"71" 71 109 41
"72" 72 119 42
"73" 73 115 44
"74" 74 119 52
"75" 75 129 68
"76" 76 142 67
"77" 77 131 70
"78" 78 126 75
"79" 79 117 82
"80" 80 109 72
"81" 81 118 75
"82" 82 115 92
"83" 83 137 103
"84" 84 131 88
"85" 85 133 101
"86" 86 116 100
"87" 87 108 86
"88" 88 143 99
"89" 89 124 84
"90" 90 145 92
"91" 91 144 96
"92" 92 130 86
"93" 93 136 86
"94" 94 124 72
"95" 95 137 63
"96" 96 137 62
"97" 97 142 48
"98" 98 140 48
"99" 99 141 45
"100" 100 140 49
"101" 101 129 57
"102" 102 124 40
"103" 103 144 51
"104" 104 105 41
"105" 105 109 32
"106" 106 129 51
"107" 107 159 56
"108" 108 145 36
"109" 109 126 39
"110" 110 129 40
"111" 111 131 37
"112" 112 135 40
"113" 113 150 40
"114" 114 135 45
"115" 115 145 39
"116" 116 118 37
"117" 117 125 32
"118" 118 159 32
"119" 119 144 21
"120" 120 104 11
"121" 121 92 24
"122" 122 139 40
"123" 123 153 40
"124" 124 148 39
"125" 125 127 47
"126" 126 126 54
"127" 127 123 56
"128" 128 127 67
"129" 129 142 85
"130" 130 147 65
"131" 131 139 79
"132" 132 136 81
"133" 133 140 57
"134" 134 128 51
"135" 135 142 73
"136" 136 132 79
"137" 137 138 82
"138" 138 137 82
"139" 139 130 83
"140" 140 140 81
"141" 141 113 54
"142" 142 129 62
"143" 143 148 72
"144" 144 144 59
"145" 145 137 66
"146" 146 132 62
"147" 147 134 59
"148" 148 136 36
"149" 149 135 46
"150" 150 126 42
"151" 151 137 56
"152" 152 154 57
"153" 153 133 43
"154" 154 135 49
"155" 155 123 42
