"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"	"total"	"pos"	"R1total"	"R1pos"	"R2total"	"R2pos"	"R3total"	"R3pos"	"R4total"	"R4pos"	"R5total"	"R5pos"	"R6total"	"R6pos"	"R7total"	"R7pos"	"R8total"	"R8pos"
1998	1	4.3	7.2	93	3	28	16	6	2	0	7	4	2	0	0	0	3	0	1	1	0	0	0	0
1998	2	4.5	9.2	92	13	19	64	27	3	0	8	1	12	3	9	8	6	4	12	6	2	0	3	2
1998	3	4.7	8.1	91	9	17	56	18	6	1	0	0	10	6	4	0	14	1	1	0	6	4	5	2
1998	4	-1.1	4.1	84	18	8	81	34	7	3	4	1	22	17	8	0	10	7	7	2	3	0	3	1
1998	5	-1	4.9	73	28	2	93	34	8	3	21	14	14	4	2	2	18	4	8	2	1	0	9	5
1998	6	2.5	6.3	90	9	12	78	13	9	2	6	0	12	4	3	2	18	4	2	0	2	0	10	0
1998	7	6.6	10.1	94	3	25	76	16	10	0	11	0	15	8	3	2	9	1	5	0	5	1	6	0
1998	8	5.9	9.9	88	12	8	77	22	4	3	11	4	17	4	4	1	8	0	6	2	6	4	8	2
1998	9	5.1	10.3	84	17	10	76	22	16	5	17	8	16	5	6	2	1	0	5	0	1	0	2	0
1998	10	2	8.5	84	25	46	92	41	6	1	6	0	20	9	9	5	15	2	14	8	6	4	1	1
1998	11	2.2	8.8	69	39	2	88	35	9	4	4	1	16	11	9	0	11	7	8	4	1	0	9	3
1998	12	4.2	10.1	71	37	2	80	24	11	2	6	5	7	3	3	0	20	5	9	1	0	0	13	7
1998	13	5.3	13.1	68	39	6	91	13	8	3	16	7	19	0	4	0	26	3	3	0	3	0	3	0
1998	14	5.3	14.5	85	11	35	75	7	9	0	10	0	8	5	0	0	19	1	6	0	5	0	9	1
1998	15	5.1	10.5	85	11	9	54	17	3	1	15	4	10	4	2	0	2	1	3	1	3	3	9	0
1998	16	5.2	10.8	73	41	13	92	24	19	3	5	0	23	11	7	1	3	0	4	3	7	3	6	0
1998	17	9	14.6	81	31	13	92	31	8	3	17	5	19	6	8	0	10	4	2	0	5	1	2	1
1998	18	10.7	19.9	79	41	13	23	9	4	2	0	0	0	0	5	5	4	1	6	1	0	0	0	0
1998	19	11.3	21.9	73	54	11	76	27	6	4	5	4	9	2	5	1	17	8	13	3	0	0	5	1
1998	20	12.1	20	60	87	5	120	36	14	3	6	2	32	13	10	1	18	1	8	3	3	1	10	4
1998	21	10.6	19	66	71	2	87	29	4	2	16	10	10	3	5	3	20	0	6	3	1	0	10	7
1998	22	13.5	21.2	77	48	7	84	29	8	3	19	11	9	2	3	2	21	6	7	1	5	1	7	1
1998	23	13.3	19.9	75	44	12	68	25	12	4	6	0	13	6	2	2	6	3	3	2	7	2	9	3
1998	24	13	18.5	72	59	13	91	38	17	6	14	4	14	1	7	7	8	5	4	0	5	1	6	1
1998	25	13.9	23.8	68	57	12	81	56	6	6	8	7	28	18	5	4	12	6	6	3	1	0	0	0
1998	26	15.4	21.7	71	57	27	92	60	10	6	4	2	13	12	9	7	14	8	12	5	7	5	5	5
1998	27	13.9	19	82	34	20	100	64	8	5	7	3	22	20	11	5	20	12	8	4	2	2	7	3
1998	28	13.4	19.6	75	57	25	85	62	6	5	13	11	17	10	3	3	13	9	5	4	4	3	14	11
1998	29	13.5	19	73	59	28	85	56	9	7	23	22	13	11	3	2	19	8	4	4	2	0	2	0
1998	30	16.2	26.9	68	68	5	69	33	15	6	4	2	10	5	4	0	8	4	6	4	4	2	10	5
1998	31	15.1	20.4	77	28	30	84	44	16	7	11	4	11	7	2	1	5	5	2	2	5	2	10	4
